,mssv,soquyetdinh,ngaycapvb,namsinh,gioitinh,noisinh,lopsh,khoa,hedt,khoahoc,chuyennganh2,tinhtrang,diachi_tinhtp,diemnamhoc1,diemnamhoc2,diemnamhoc3,diemnamhoc4,diemnamhoc5,diemnamhoc6,diem_3_5,dtb_toankhoa,dtb_tichluy,sotc_tichluy,ghichu,drlnam1,drlnam2,drlnam3,drlnam4,drlnam5,drlnam6,drl_3_5,dien_tt,diem_tt,lop12_matinh,lop12_matruong,sotc_rot1,sotc_rot2,sotc_rot3,sotc_rot4,sotc_rot5,sotc_rot6,sotc_rot7,sotc_rot8,tc_rot_tong,rotmon_3_5,tctichluy1,tctichluy2,tctichluy3,tctichluy4,tctichluy5,tctichluy6,tc_tichluy_3_5,socc_tienganh,tienganh,canhcao,tc_yeucau,tb_drl,label
0,BE375BAAXPvAibaEXe9JDlHA4z2GHJ3/PVStCxR2, 204/QĐ-ĐHCNTT,2019-04-12,1995.0,1.0,Vùng Đông Nam Bộ,KTPM0001, CNPM,CQUI,8.0,D480103,3.0,Vùng Đông Nam Bộ,6.47,6.66,6.55,6.89,7.86,,6.24,7.15,7.15,155.0,,86.0,78.0,85.0,64.5,75.0,,64.0,THPT,31.0,2.0,102.0,5.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,14.0,0.0,35.0,40.0,36.0,28.0,16.0,,12.0,1.0,Unknown,0.0,153.0,77.7,Khá
1,2420ED57XPvAibaEXe/Lh6v1XxTKJa6JLFRUPkLM, 675/QĐ-ĐHCNTT,2019-10-11,1995.0,1.0,Vùng Đồng bằng sông Cửu Long,HTTT0001, HTTT,CTTT,8.0,D480104,3.0,Vùng Đông Nam Bộ,7.72,8.17,8.3,8.1,7.4,,8.07,8.02,8.02,140.0,,98.0,94.0,82.0,71.0,65.5,,64.0,THPT,25.5,2.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,34.0,35.0,26.0,10.0,,10.0,1.0,Unknown,1.0,152.0,82.1,Rớt
2,83B76C01XPvAibaEXe/lOccskaOiO2K46r7t4qnt,,,1994.0,1.0,Vùng Đồng bằng sông Hồng,KHMT2013, KHMT,CQUI,8.0,D480101,5.0,Vùng Đồng bằng sông Hồng,5.03,4.53,2.46,,,,,4.71,6.33,56.0,,64.0,56.5,-14.0,,,,0.0,THPT,26.5,48.0,3.0,15.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,27.0,28.0,37.0,,,,,0.0,0,1.0,140.0,35.5,Rớt
3,91F785ABXPvAibaEXe/lOccskaOiO5y4GbVvuRQu, 204/QĐ-ĐHCNTT,2019-04-12,1995.0,1.0,Vùng Đông Nam Bộ,HTTT0001, HTTT,CTTT,8.0,D480104,3.0,Vùng Đông Nam Bộ,7.03,6.11,6.76,6.41,7.14,0.0,7.409999999999999,7.14,7.14,140.0,,77.5,53.0,66.5,61.0,68.0,55.0,62.0,THPT,24.5,2.0,4.0,5.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,13.0,0.0,27.0,32.0,35.0,19.0,27.0,0.0,10.0,1.0,TOEIC_LR,0.0,152.0,63.5,Rớt
4,007C275DXPvAibaEXe+TFgEDwYNnveOOmOYeYzF6,,,1995.0,1.0,Vùng Đông Nam Bộ,MMTT0001, MMT&TT,CQUI,8.0,D480201,8.0,Vùng Đông Nam Bộ,6.63,7.06,8.15,7.09,1.2,4.7,6.99,7.23,7.38,147.0,,91.5,86.0,78.5,70.5,60.5,77.4,66.0,THPT,31.0,2.0,57.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,43.0,41.0,32.0,31.0,3.0,,15.0,0.0,0,2.0,148.0,77.39999999999999,Rớt
5,4D1054A2XPvAibaEXe8WD3qnVG2b/aV/yYzs56/D, 621/QĐ-ĐHCNTT,2018-10-10,1995.0,0.0,Vùng Bắc Trung Bộ và Duyên hải miền Trung,KTPM0001, CNPM,CQUI,8.0,D480103,3.0,Vùng Bắc Trung Bộ và Duyên hải miền Trung,7.39,8.23,7.82,8.28,6.6,,8.01,7.86,7.86,155.0,,96.5,94.5,86.5,81.0,69.5,,75.0,THPT,27.0,30.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,31.0,34.0,10.0,,16.0,1.0,TOEIC_LR,0.0,153.0,85.6,Khá
6,AE78A5C2XPvAibaEXe+yU1j0ocViqV7UP2kSRFnX,,,1995.0,1.0,Vùng Bắc Trung Bộ và Duyên hải miền Trung,MMTT0001, MMT&TT,CQUI,8.0,D480201,8.0,Vùng Bắc Trung Bộ và Duyên hải miền Trung,5.23,5.52,6.5,5.87,3.14,3.01,6.96,6.08,6.45,140.0,,72.0,67.0,25.0,62.5,75.0,67.5,67.0,THPT,26.0,44.0,21.0,11.0,12.0,0.0,0.0,10.0,6.0,0.0,0.0,39.0,6.0,28.0,34.0,38.0,30.0,10.0,10.0,24.0,0.0,0,1.0,148.0,61.5,Rớt
7,C6114925XPvAibaEXe/Bn5cQSu92WepaWyZsqola, 621/QĐ-ĐHCNTT,2018-10-10,1995.0,1.0,Vùng Bắc Trung Bộ và Duyên hải miền Trung,HTTT0001, HTTT,CQUI,8.0,D52480104,3.0,Vùng Bắc Trung Bộ và Duyên hải miền Trung,4.43,5.05,5.63,5.95,6.3,,6.31,6.31,6.31,154.0,,84.5,71.0,74.0,60.0,64.0,,56.0,THPT,26.0,35.0,15.0,17.0,12.0,7.0,4.0,0.0,0.0,0.0,0.0,40.0,0.0,25.0,30.0,50.0,37.0,12.0,,20.0,1.0,TOEIC_LR,0.0,152.0,70.7,Trung bình khá
8,EAA0B693XPvAibaEXe99j2P15eeB04XwhZ0tzlI4, 204/QĐ-ĐHCNTT,2019-04-12,1994.0,1.0,Vùng Đông Nam Bộ,KHMT0001, KHMT,CQUI,8.0,D480101,3.0,Vùng Đông Nam Bộ,5.03,6.33,6.6,4.5,5.0,,6.320000000000001,6.01,6.71,142.0,,75.0,89.0,44.5,43.5,57.5,,56.0,THPT,24.5,2.0,40.0,10.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,27.0,50.0,43.0,38.0,4.0,,18.0,1.0,Unknown,1.0,140.0,61.9,Trung bình
9,9C8782A5XPvAibaEXe9lF2o7VejWNskIJ3b/KH8Y, 258/QĐ-ĐHCNTT,2019-05-10,1995.0,1.0,Vùng Bắc Trung Bộ và Duyên hải miền Trung,MMTT0001, MMT&TT,CQUI,8.0,D480102,3.0,Vùng Bắc Trung Bộ và Duyên hải miền Trung,6.7,6.81,6.96,6.21,5.49,,6.58,7.49,7.49,149.0,,71.5,70.0,66.0,63.0,68.0,,62.0,THPT,28.0,41.0,15.0,10.0,3.0,2.0,3.0,6.0,0.0,0.0,0.0,24.0,0.0,31.0,36.0,44.0,26.0,12.0,,15.0,1.0,Unknown,0.0,148.0,67.7,Khá
