mssv,soquyetdinh,ngaycapvb,namsinh,gioitinh,noisinh,lopsh,khoa,hedt,khoahoc,chuyennganh2,tinhtrang,diachi_tinhtp,diemnamhoc1,diemnamhoc2,diemnamhoc3,diemnamhoc4,diemnamhoc5,diemnamhoc6,diem_3_5,dtb_toankhoa,dtb_tichluy,sotc_tichluy,ghichu,drlnam1,drlnam2,drlnam3,drlnam4,drlnam5,drlnam6,drl_3_5,dien_tt,diem_tt,lop12_matinh,lop12_matruong,sotc_rot1,sotc_rot2,sotc_rot3,sotc_rot4,sotc_rot5,sotc_rot6,sotc_rot7,sotc_rot8,tc_rot_tong,rotmon_3_5,tctichluy1,tctichluy2,tctichluy3,tctichluy4,tctichluy5,tctichluy6,tc_tichluy_3_5,socc_tienganh,tienganh,canhcao,tc_yeucau,du_dktn,tb_drl,label
8AB125A2XPvAibaEXe9gJazs/pDnMZ2PHhOaazsg,,,2000.0,1.0,Vùng Đồng bằng sông Cửu Long,MMCL2018, MMT&TT,CLC,13.0,7480102,5.0,Vùng Đồng bằng sông Cửu Long,2.08,,,,,,,2.07,5.85,8.0,khong co ghi chu,71.0,,,,,,,THPT,19.15,2.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,,,,,,,0.0,0,1.0,144.0,0,71.0,Chưa tốt nghiệp
FA321630XPvAibaEXe8TrN3vUI8MaCMWQ0dmEL6l,,,1996.0,1.0,Vùng Bắc Trung Bộ và Duyên hải miền Trung,KTMT0001, KTMT,CQUI,9.0,D520214,1.0,Vùng Bắc Trung Bộ và Duyên hải miền Trung,5.6,6.18,6.66,6.73,8.43,,6.62,6.88,6.88,147.0,,84.5,74.5,67.5,77.0,67.5,,76.0,THPT,25.5,-1.0,-1.0,17.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,21.0,47.0,36.0,34.0,13.0,,25.0,0.0,0,0.0,146.0,0,74.2,Rớt
4E21D138XPvAibaEXe+KnWgScvZ27L2tis+PHh39,,,2000.0,0.0,Vùng Đồng bằng sông Cửu Long,CNTT2018, KTTT,CQUI,13.0,D480201,1.0,Vùng Đồng bằng sông Cửu Long,5.58,6.44,7.9,7.0,0.0,,7.66,7.04,7.14,130.0,khong co ghi chu,72.5,79.0,82.5,85.0,58.0,,100.0,THPT,20.6,54.0,9.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,34.0,36.0,37.0,23.0,,,13.0,0.0,0,0.0,131.0,0,75.4,Chưa tốt nghiệp
0C77106BXPvAibaEXe/NRwqjPAC0MErrzzQBtnng, 354/QĐ-ĐHCNTT,2021-06-09,1996.0,1.0,Vùng Bắc Trung Bộ và Duyên hải miền Trung,KTPM0001, CNPM,CQUI,9.0,D480103,3.0,Vùng Bắc Trung Bộ và Duyên hải miền Trung,6.83,7.16,5.85,6.91,5.72,7.0,7.409999999999999,7.4,7.4,154.0,,63.0,72.0,58.0,75.5,69.5,54.0,76.0,THPT,30.0,-1.0,-1.0,7.0,4.0,3.0,4.0,3.0,0.0,0.0,0.0,21.0,0.0,29.0,45.0,36.0,34.0,11.0,3.0,20.0,1.0,TOEIC_LR,2.0,153.0,1,65.33333333333333,Rớt
DC33F511XPvAibaEXe8bHoSDwbr9UoekkFTrKv1C,,,2001.0,1.0,Vùng Đông Nam Bộ,ATTT2019, MMT&TT,CQUI,14.0,D480299,1.0,Vùng Đông Nam Bộ,7.74,7.19,7.37,7.5,,,7.5,7.5,7.61,124.0,Qui đổi Toeic,95.0,82.5,79.0,89.0,,,89.0,THPT,24.55,48.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,35.0,30.0,40.0,11.0,,,11.0,0.0,0,0.0,132.0,0,86.375,Chưa tốt nghiệp
4BBEC540XPvAibaEXe/zT99h3DDtvRYWNXD2gFdl,,,2000.0,0.0,Vùng Bắc Trung Bộ và Duyên hải miền Trung,CNCL2018, KTTT,CLC,13.0,7480201_CLCN,1.0,Vùng Đông Nam Bộ,5.43,6.15,7.15,6.57,5.35,,7.630000000000001,6.82,6.88,126.0,,100.0,97.5,97.5,85.5,72.0,,100.0,THPT,19.7,43.0,42.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,23.0,33.0,38.0,30.0,8.0,,23.0,0.0,0,0.0,120.0,0,90.5,Chưa tốt nghiệp
6CFD41D1XPvAibaEXe/NPUyacSAr+FKU/uv9pUTV,,,2001.0,1.0,Vùng Bắc Trung Bộ và Duyên hải miền Trung,KTPM2019, CNPM,CQUI,14.0,D480103,4.0,Vùng Bắc Trung Bộ và Duyên hải miền Trung,4.4,,,,,,,4.4,7.72,17.0,Qui đổi Toeic,85.5,,,,,,,TT-Bộ,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,,,,,,,0.0,0,0.0,137.0,0,85.5,Chưa tốt nghiệp
F6009921XPvAibaEXe9nP2x7vQNdVRElP3y/nIwA,,,2001.0,1.0,Vùng Bắc Trung Bộ và Duyên hải miền Trung,CTTT2019, HTTT,CTTT,14.0,D480104,1.0,Vùng Bắc Trung Bộ và Duyên hải miền Trung,6.3,6.47,7.5,7.23,,,7.23,6.93,7.04,111.0,Qui đổi Toeic,94.0,96.0,91.0,81.0,,,81.0,THPT,18.6,39.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,16.0,47.0,36.0,16.0,,,16.0,0.0,0,0.0,144.0,0,90.5,Chưa tốt nghiệp
D94ED526XPvAibaEXe93UbSm/ewAMkgBnNJA6WtC,,,2000.0,1.0,Vùng Đồng bằng sông Cửu Long,PMCL2018, CNPM,CLC,13.0,D480103,1.0,Vùng Đồng bằng sông Cửu Long,8.84,8.12,8.87,8.61,0.0,,8.75,8.6,8.6,149.0,khong co ghi chu,87.5,93.0,100.0,94.0,93.62,,100.0,THPT,21.9,57.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,36.0,28.0,29.0,,,19.0,0.0,0,0.0,148.0,0,93.625,Chưa tốt nghiệp
A3BBF886XPvAibaEXe9hweWHK/GxsN0ZrmRCP4Nc,,,1998.0,1.0,Vùng Đông Nam Bộ,MMTT2016, MMT&TT,CQUI,11.0,D480102,5.0,Vùng Đông Nam Bộ,2.31,,,,,,,2.31,0.0,0.0,khong co ghi chu,14.0,,,,,,,THPT,22.25,2.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,,,,,,,0.0,0,0.0,148.0,0,14.0,Rớt
64E673DAXPvAibaEXe87zPkGv/PdbkEEX8vUst3m,,,2000.0,1.0,Vùng Đông Nam Bộ,ATTT2018, MMT&TT,CQUI,13.0,D480299,1.0,Vùng Bắc Trung Bộ và Duyên hải miền Trung,7.22,7.3,8.26,8.6,,,8.78,7.66,7.66,131.0,khong co ghi chu,92.5,91.0,91.0,78.5,,,91.0,ƯT-ĐHQG,26.6,2.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,39.0,29.0,17.0,,,12.0,0.0,0,0.0,131.0,0,88.25,Chưa tốt nghiệp
E6963FB3XPvAibaEXe/XOPUzjjLegHdSw5mPkBXa,,,1997.0,1.0,Vùng Bắc Trung Bộ và Duyên hải miền Trung,CNTT0001, KTTT,CQUI,10.0,D480201,2.0,Vùng Bắc Trung Bộ và Duyên hải miền Trung,4.77,5.21,5.97,6.31,7.74,8.9,5.63,6.66,6.66,140.0,,55.0,66.5,67.5,62.0,55.0,50.0,64.0,THPT,22.75,-1.0,-1.0,16.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,24.0,0.0,17.0,29.0,44.0,24.0,14.0,4.0,14.0,0.0,0,1.0,138.0,0,59.333333333333336,Rớt
91A9AE2FXPvAibaEXe/7BYdCAEGEzTfU5A0uuq8c,,,1998.0,1.0,Vùng Đồng bằng sông Cửu Long,HTTT0001, HTTT,CQUI,11.0,D480104,2.0,Vùng Đồng bằng sông Cửu Long,6.28,5.89,4.2,3.94,0.56,,2.48,5.42,6.77,104.0,khong co ghi chu,81.5,80.0,75.0,62.5,58.0,,58.0,THPT,22.5,49.0,11.0,7.0,7.0,15.0,7.0,3.0,0.0,0.0,0.0,39.0,4.0,30.0,40.0,19.0,27.0,22.0,,12.0,0.0,0,2.0,152.0,0,71.4,Rớt
AA4461E2XPvAibaEXe/VQHzzHDYACa11u9Eb7pRw,,,2001.0,1.0,Vùng Đồng bằng sông Cửu Long,MTCL2019, KTMT,CLC,14.0,D520214,1.0,Vùng Đồng bằng sông Cửu Long,7.7,7.46,8.11,8.24,,,8.24,7.78,7.78,128.0,Qui đổi Toeic,80.0,89.5,100.0,85.0,,,85.0,THPT,22.45,54.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,42.0,37.0,10.0,,,10.0,0.0,0,0.0,145.0,0,88.625,Chưa tốt nghiệp
729C999CXPvAibaEXe+8PTy9pH9lFzieWq3WseGH,,,1997.0,1.0,Vùng Đồng bằng sông Cửu Long,HTTT0001, HTTT,CTTT,10.0,D480104,2.0,Vùng Đồng bằng sông Cửu Long,5.61,5.99,6.71,6.58,3.16,6.6,6.48,6.47,6.47,142.0,,66.5,39.5,82.5,68.0,53.0,47.5,68.0,THPT,20.25,-1.0,-1.0,7.0,8.0,0.0,0.0,10.0,0.0,0.0,0.0,25.0,0.0,29.0,29.0,46.0,19.0,9.0,10.0,12.0,0.0,0,1.0,152.0,0,59.5,Rớt
AEA58165XPvAibaEXe8N+uD/a8GbgseZj0oMtbP3,,,2000.0,1.0,Vùng Đông Nam Bộ,MTCL2018, KTMT,CLC,13.0,D520214,1.0,Vùng Đông Nam Bộ,6.66,5.26,6.66,7.39,8.23,,8.4,6.82,6.86,148.0,khong co ghi chu,82.5,99.5,98.5,99.5,78.0,,100.0,THPT,19.3,2.0,245.0,0.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,45.0,30.0,35.0,28.0,12.0,,14.0,0.0,0,0.0,144.0,0,91.6,Chưa tốt nghiệp
